ccg,row_id,row_name,date,Short-acting insulins_items,Short-acting insulins_actual_cost,Intermediate and long-acting insulins_items,Intermediate and long-acting insulins_actual_cost,Sulfonylureas_items,Sulfonylureas_actual_cost,Biguanides_items,Biguanides_actual_cost,Other antidiabetic drugs_items,Other antidiabetic drugs_actual_cost,Treatment of hypoglycaemia_items,Treatment of hypoglycaemia_actual_cost,Diabetic diagnostic and monitoring agents_items,Diabetic diagnostic and monitoring agents_actual_cost
02T,B84001,STATION ROAD SURGERY,2020/6/1,21,875.55,70,3135.64,99,398.86,290,1256.1,204,8129.05,10,81.41,96,1782.61
02T,B84001,STATION ROAD SURGERY,2020/7/1,22,943.8,71,3043.16,108,353.76,323,1554.42,226,9331.86,12,101.64,115,2071.97
02T,B84001,STATION ROAD SURGERY,2020/8/1,21,885.89,55,2257.98,109,341.82,249,1204.11,190,7271.55,12,90.74,86,1573.94
02T,B84001,STATION ROAD SURGERY,2020/9/1,33,1381.18,72,3453.63,91,287.33,289,1369.55,210,8923.47,16,140.14,92,1710.81
02T,B84001,STATION ROAD SURGERY,2020/10/1,27,1335.43,78,3602.69,115,318.87,298,1417.7,213,8789.83,15,115.23,127,2183.75
02T,B84001,STATION ROAD SURGERY,2020/11/1,32,1408.08,68,3050.68,100,252.85,294,1311.93,226,8914.31,11,84.7,102,1822.18
02T,B84001,STATION ROAD SURGERY,2020/12/1,32,1342.03,74,3167.35,115,345.46,335,1519.31,217,8467.09,19,124.77,129,2221.9
02T,B84001,STATION ROAD SURGERY,2021/1/1,23,1043.33,70,3231.8,92,227.99,279,1260.13,204,8612.46,13,86.81,105,1796.72
02T,B84001,STATION ROAD SURGERY,2021/2/1,26,1244.53,71,3438.98,87,251.29,267,1208.19,173,7712.18,12,84.53,103,1838.61
02T,B84001,STATION ROAD SURGERY,2021/3/1,22,1037.96,73,2982.1,109,263.75,347,1390.06,228,9907.07,15,112.86,119,2029.18
